project_type,location,total_area_sqft,num_floors,num_workers,planned_duration_days,material_quality,complexity_level,has_basement,weather_risk_zone,contractor_experience_years,soil_type,water_table_level,distance_from_city_km,site_accessibility,floor_height_ft,foundation_type,num_bathrooms,electrical_load_kw,finishing_level,site_topography,actual_cost,actual_duration_days
residential,Navi Mumbai,4100,1,17,133,standard,high,False,high,12,normal,deep,32,moderate,9,pile,5,21,basic,flat,20944000.0,148
industrial,Vadodara,41700,1,171,730,premium,low,False,moderate,12,clay,deep,59,remote,14,raft,22,836,luxury,flat,428663000.0,723
infrastructure,Warangal,18200,2,90,685,standard,low,False,moderate,11,clay,moderate,57,difficult,10.5,pile,13,43,standard,flat,158993000.0,684
residential,Faridabad,2700,1,21,124,economy,medium,False,high,5,rocky,shallow,0,easy,10,isolated,6,11,standard,flat,7830000.0,121
residential,Thane,6500,4,58,337,standard,medium,False,high,7,clay,high,0,easy,10,strip,10,35,standard,flat,36932000.0,344
infrastructure,Faridabad,22000,1,92,730,economy,medium,False,high,14,normal,shallow,14,easy,11,isolated,15,97,standard,flat,90467000.0,730
commercial,Guwahati,45800,8,477,730,economy,medium,True,high,6,normal,shallow,36,moderate,11,pile,50,385,basic,steep_slope,374960000.0,749
industrial,Vellore,34300,2,119,661,standard,high,False,moderate,3,rocky,moderate,16,easy,20,isolated,17,616,standard,flat,174277000.0,677
residential,Indore,5400,4,58,307,economy,high,False,moderate,8,marshy,shallow,0,moderate,10,pile,8,22,basic,flat,33473000.0,299
residential,Trichy,3000,2,21,174,economy,medium,False,moderate,4,clay,moderate,20,easy,12,pile,6,17,basic,flat,8674000.0,169
commercial,Gurgaon,14700,4,110,613,standard,high,False,high,16,rocky,moderate,31,moderate,11,isolated,19,156,basic,flat,117398000.0,614
residential,Kochi,3600,2,29,146,premium,high,True,high,1,normal,moderate,17,moderate,16,isolated,6,19,luxury,gentle_slope,67267000.0,151
industrial,Agra,22600,3,92,730,economy,medium,False,high,3,rocky,moderate,51,moderate,20,raft,10,830,basic,steep_slope,110522000.0,752
residential,Chandigarh,2300,1,12,73,premium,medium,False,moderate,17,clay,moderate,32,moderate,10,pile,4,7,luxury,flat,32025000.0,58
residential,Tirupati,7200,3,72,270,economy,low,False,moderate,6,clay,deep,29,moderate,10.5,strip,13,44,basic,gentle_slope,17974000.0,255
residential,Ahmedabad,5700,3,49,230,economy,low,False,moderate,9,clay,moderate,14,moderate,10,pile,8,27,basic,flat,16354000.0,227
industrial,Hyderabad,25500,3,81,620,standard,high,False,moderate,3,normal,moderate,20,easy,14,strip,13,1061,standard,gentle_slope,160382000.0,628
industrial,Surat,17100,3,81,414,standard,medium,False,high,16,clay,moderate,7,easy,18,pile,10,396,premium,gentle_slope,151261000.0,399
residential,Hyderabad,5400,1,33,222,standard,medium,False,low,9,rocky,shallow,22,moderate,11,isolated,8,34,basic,flat,17722000.0,212
industrial,Meerut,62200,3,399,730,standard,low,False,moderate,2,sandy,high,0,moderate,16,raft,30,1524,standard,flat,418892000.0,750
commercial,Raipur,25100,8,280,730,premium,medium,True,moderate,6,marshy,deep,2,difficult,16,strip,31,435,luxury,flat,938331000.0,741
commercial,Warangal,30800,1,173,730,premium,low,False,moderate,8,normal,high,0,moderate,16,isolated,39,263,luxury,gentle_slope,304566000.0,738
residential,Salem,1100,1,6,60,premium,medium,False,low,4,rocky,deep,37,moderate,9,strip,1,4,luxury,flat,10908000.0,64
commercial,Srinagar,14400,5,75,491,premium,medium,False,high,9,rocky,moderate,16,easy,11,raft,17,228,standard,gentle_slope,255040000.0,513
infrastructure,Udaipur,12000,2,64,455,standard,medium,False,low,19,clay,shallow,18,easy,10.5,raft,7,43,standard,hilly,92756000.0,458
commercial,Raipur,37500,7,381,730,premium,low,False,moderate,4,sandy,deep,16,easy,14,pile,48,689,luxury,flat,579913000.0,715
commercial,Dehradun,14800,7,115,730,economy,medium,False,high,10,normal,deep,7,easy,10,raft,17,246,basic,gentle_slope,79580000.0,736
residential,Chennai,6600,4,68,416,premium,high,False,low,8,normal,high,41,easy,11,raft,11,33,standard,gentle_slope,77348000.0,414
residential,Raipur,7600,4,78,556,economy,medium,False,moderate,7,normal,deep,10,easy,10,isolated,11,44,basic,hilly,26153000.0,541
commercial,Guntur,35900,6,239,730,standard,high,False,moderate,7,rocky,deep,15,easy,11,pile,46,613,premium,gentle_slope,455760000.0,747
infrastructure,Srinagar,18100,2,143,543,premium,low,False,high,10,normal,high,4,moderate,11,raft,12,90,premium,steep_slope,217683000.0,529
residential,Bhubaneswar,1800,3,14,90,economy,medium,False,high,4,normal,moderate,21,easy,10,strip,5,6,standard,gentle_slope,6087000.0,91
infrastructure,Mumbai,10200,1,62,342,economy,medium,False,high,5,rocky,shallow,31,moderate,10.5,strip,6,52,basic,gentle_slope,48629000.0,348
infrastructure,Pune,3500,2,25,157,premium,medium,False,high,10,sandy,shallow,0,difficult,10.5,isolated,2,11,premium,flat,43601000.0,158
industrial,Bareilly,51100,3,282,730,economy,high,False,moderate,1,rocky,high,42,moderate,14,raft,25,1456,standard,flat,265816000.0,749
industrial,Thanjavur,31200,3,158,730,premium,high,False,moderate,8,normal,deep,0,easy,20,raft,15,1510,luxury,flat,356831000.0,736
residential,Mumbai,1200,3,6,74,economy,medium,False,high,12,sandy,deep,22,moderate,10,isolated,2,3,standard,flat,5003000.0,59
residential,Faridabad,800,4,7,81,economy,low,False,high,8,normal,deep,18,easy,9,isolated,1,3,basic,steep_slope,2494000.0,91
residential,Mumbai,6800,3,41,421,standard,medium,False,moderate,1,normal,moderate,0,moderate,12,strip,12,35,standard,steep_slope,38275000.0,425
residential,Varanasi,4300,4,34,273,standard,high,False,moderate,5,normal,shallow,20,difficult,16,strip,8,20,standard,gentle_slope,31599000.0,287
residential,Dehradun,2600,2,14,131,economy,high,False,high,2,sandy,deep,37,easy,9,strip,4,17,basic,gentle_slope,9802000.0,130
commercial,Nagpur,4900,2,25,178,economy,high,False,moderate,4,rocky,deep,10,moderate,10,strip,8,88,basic,flat,22925000.0,163
infrastructure,Jaipur,12200,1,73,310,premium,low,False,high,6,rocky,deep,0,easy,10,strip,7,56,luxury,flat,164983000.0,310
commercial,Bareilly,20800,4,123,730,standard,low,True,moderate,10,marshy,moderate,4,easy,11,pile,25,271,standard,gentle_slope,144042000.0,745
residential,Patna,8000,4,68,584,standard,low,True,high,3,normal,moderate,58,difficult,11,isolated,13,62,basic,flat,31570000.0,606
industrial,Jabalpur,6800,1,16,163,standard,medium,False,moderate,5,sandy,moderate,66,difficult,16,isolated,4,260,standard,flat,27729000.0,161
infrastructure,Trichy,9800,1,54,275,standard,medium,False,moderate,5,sandy,deep,0,moderate,11,isolated,8,54,premium,flat,51758000.0,278
residential,Tirupati,1100,1,5,60,economy,medium,False,moderate,9,clay,moderate,0,easy,10,pile,1,3,basic,flat,2671000.0,49
infrastructure,Surat,7900,1,59,305,premium,low,False,high,3,clay,deep,7,moderate,10,raft,7,27,luxury,flat,128399000.0,298
commercial,Srinagar,12700,8,127,730,economy,low,False,high,8,rocky,deep,52,difficult,11,strip,15,144,standard,gentle_slope,100400000.0,738
infrastructure,Mysore,12600,1,58,372,economy,medium,False,low,7,clay,deep,0,difficult,10,raft,8,56,standard,gentle_slope,59375000.0,374
residential,Salem,7100,4,72,482,premium,low,False,low,1,normal,shallow,19,easy,12,strip,10,22,premium,flat,47395000.0,467
commercial,Mumbai,40200,2,232,730,standard,medium,False,high,7,normal,high,0,moderate,11,isolated,50,454,standard,flat,218355000.0,737
commercial,Navi Mumbai,7700,3,44,251,economy,low,False,high,14,normal,moderate,58,difficult,14,strip,11,66,basic,steep_slope,39088000.0,236
infrastructure,Thanjavur,3300,2,24,129,standard,low,False,moderate,9,rocky,deep,2,moderate,11,strip,4,17,standard,gentle_slope,16297000.0,131
residential,Coimbatore,1600,4,14,81,standard,low,False,low,12,marshy,moderate,31,difficult,12,strip,1,7,standard,flat,9474000.0,84
industrial,Coimbatore,78800,2,419,730,standard,medium,False,low,4,normal,deep,0,easy,16,strip,41,1715,standard,flat,352681000.0,737
commercial,Gandhinagar,47300,8,338,730,standard,low,False,moderate,15,clay,moderate,34,easy,12,pile,50,794,standard,gentle_slope,500964000.0,737
infrastructure,Nagpur,13600,2,82,576,standard,medium,False,moderate,5,normal,shallow,0,moderate,10,isolated,8,70,premium,flat,100039000.0,575
infrastructure,Kanpur,2000,1,11,77,economy,medium,True,moderate,4,rocky,moderate,27,moderate,12,raft,2,9,standard,gentle_slope,11890000.0,93
residential,Gurgaon,7800,4,84,361,premium,high,False,high,4,sandy,high,46,difficult,9,raft,15,29,premium,hilly,190173000.0,364
residential,Shimla,4000,1,29,134,standard,low,False,high,2,clay,moderate,0,easy,11,pile,7,26,standard,steep_slope,22924000.0,151
infrastructure,Bhubaneswar,2500,1,12,85,standard,medium,False,high,12,normal,shallow,0,easy,10,isolated,1,7,standard,steep_slope,12288000.0,97
residential,Patna,1800,1,9,80,standard,medium,False,high,7,normal,deep,0,easy,9,isolated,4,7,standard,gentle_slope,4762000.0,77
infrastructure,Surat,2700,2,18,128,standard,high,False,high,3,clay,deep,0,easy,14,pile,3,6,standard,flat,21610000.0,127
commercial,Tirupati,24100,8,159,730,standard,medium,True,moderate,9,clay,high,16,easy,12,pile,30,391,standard,gentle_slope,305469000.0,748
residential,Vellore,5500,3,45,331,standard,medium,False,moderate,5,sandy,deep,20,moderate,10,raft,8,23,standard,flat,23118000.0,322
residential,Madurai,5800,4,43,369,standard,low,False,moderate,6,sandy,deep,25,moderate,11,isolated,9,33,premium,flat,25864000.0,361
infrastructure,Coimbatore,24200,1,139,691,standard,medium,False,low,5,normal,shallow,28,moderate,12,raft,16,109,standard,flat,135559000.0,687
residential,Chandigarh,4500,1,32,233,standard,high,False,moderate,11,marshy,moderate,0,difficult,12,strip,9,18,standard,flat,25368000.0,253
industrial,Kanpur,68800,2,235,730,standard,medium,False,moderate,6,marshy,deep,25,moderate,14,raft,36,3033,standard,gentle_slope,302366000.0,754
residential,Nagpur,6800,4,66,461,economy,low,True,moderate,9,normal,deep,36,moderate,10,isolated,13,40,standard,gentle_slope,21925000.0,457
commercial,Gandhinagar,33200,2,194,730,standard,medium,False,low,12,clay,moderate,59,moderate,16,pile,42,369,premium,flat,382530000.0,724
commercial,Udaipur,6100,8,55,401,economy,high,False,low,4,normal,moderate,45,moderate,10,pile,9,69,basic,flat,56627000.0,409
residential,Varanasi,5200,3,49,212,standard,medium,False,moderate,10,normal,high,17,easy,10,strip,7,15,standard,flat,17739000.0,217
commercial,Kochi,28400,7,311,730,premium,medium,True,moderate,8,clay,deep,35,moderate,10,pile,34,375,luxury,steep_slope,1251987000.0,726
residential,Goa,4000,4,26,295,economy,low,False,high,11,rocky,deep,0,moderate,10,strip,8,20,basic,gentle_slope,12629000.0,298
residential,Amritsar,3800,1,24,207,standard,low,False,moderate,8,clay,moderate,30,difficult,11,strip,8,27,standard,flat,12383000.0,192
industrial,Thane,20700,3,91,520,premium,high,False,moderate,1,normal,moderate,42,difficult,16,strip,11,1028,luxury,gentle_slope,401381000.0,537
residential,Faridabad,2000,4,14,85,standard,low,False,high,16,normal,moderate,0,easy,16,raft,2,7,standard,flat,9557000.0,85
residential,Thane,1100,2,6,67,economy,medium,False,high,11,normal,deep,15,easy,10,raft,1,4,standard,flat,2921000.0,52
commercial,Meerut,43000,7,431,730,economy,low,False,moderate,16,normal,moderate,22,moderate,12,raft,50,747,standard,flat,202274000.0,720
infrastructure,Amritsar,21000,1,98,706,economy,high,False,moderate,11,normal,moderate,0,moderate,12,isolated,14,86,standard,flat,82224000.0,703
industrial,Mysore,10600,2,50,274,standard,low,False,low,1,clay,deep,17,difficult,12,pile,7,331,standard,flat,53738000.0,286
industrial,Thane,61900,2,289,730,premium,low,False,high,7,sandy,moderate,24,moderate,16,isolated,30,2148,premium,flat,460607000.0,722
residential,Agra,3000,1,16,138,standard,high,False,high,11,normal,high,54,remote,10.5,raft,4,18,standard,flat,15816000.0,159
residential,Nagpur,3200,4,26,182,standard,low,False,moderate,10,clay,deep,17,easy,10,strip,6,24,premium,flat,17620000.0,175
infrastructure,Raipur,23900,2,150,730,economy,low,False,high,9,rocky,high,14,moderate,12,isolated,14,96,standard,gentle_slope,105777000.0,723
industrial,Rajkot,72700,1,189,730,economy,medium,False,moderate,8,normal,deep,0,moderate,18,strip,36,1795,basic,flat,139884000.0,741
commercial,Jamshedpur,26900,4,123,730,standard,low,True,moderate,11,normal,moderate,25,easy,14,strip,32,265,standard,gentle_slope,131162000.0,733
residential,Mangalore,2100,2,12,90,premium,high,False,high,9,sandy,deep,12,moderate,10.5,strip,3,16,luxury,flat,25072000.0,111
commercial,Chandigarh,39800,1,222,730,economy,high,False,moderate,17,sandy,shallow,50,easy,11,isolated,49,420,basic,gentle_slope,166697000.0,730
residential,Salem,2900,2,21,135,economy,medium,False,low,2,clay,moderate,32,difficult,14,pile,5,11,basic,flat,11374000.0,132
commercial,Faridabad,3300,3,14,120,economy,low,False,high,6,rocky,moderate,15,moderate,12,isolated,6,56,standard,hilly,21010000.0,139
residential,Varanasi,7800,1,58,399,premium,low,False,moderate,1,sandy,deep,28,difficult,11,isolated,14,24,luxury,gentle_slope,69578000.0,392
commercial,Mumbai,25100,6,241,730,standard,medium,False,high,6,sandy,deep,0,easy,11,raft,30,399,standard,flat,188179000.0,734
residential,Meerut,3000,4,33,164,standard,medium,False,moderate,5,normal,deep,9,easy,10,strip,7,17,standard,flat,12703000.0,149
residential,Gandhinagar,4500,1,21,137,economy,medium,False,moderate,3,sandy,deep,0,easy,16,strip,6,31,basic,steep_slope,11624000.0,131
commercial,Hubli,32000,2,141,730,standard,high,False,low,13,rocky,moderate,37,moderate,11,strip,40,541,standard,flat,217597000.0,735
residential,Udaipur,3900,4,30,223,economy,high,False,low,10,clay,moderate,10,moderate,11,pile,5,21,basic,flat,15510000.0,224
residential,Dehradun,3000,3,24,133,economy,low,False,moderate,6,clay,deep,12,easy,14,pile,4,22,basic,gentle_slope,11417000.0,138
commercial,Bareilly,10000,4,69,318,economy,medium,False,moderate,2,normal,high,0,easy,16,raft,13,172,standard,steep_slope,64758000.0,338
residential,Chennai,7600,3,54,345,standard,medium,False,high,11,marshy,deep,18,easy,10.5,raft,11,27,standard,flat,34120000.0,338
residential,Shimla,4200,1,19,208,standard,medium,True,high,1,normal,shallow,0,easy,10,pile,8,25,standard,steep_slope,27798000.0,247
residential,Faridabad,2200,3,11,101,economy,high,False,high,7,sandy,high,18,difficult,14,strip,5,10,basic,flat,12104000.0,126
residential,Thane,2500,3,20,167,premium,medium,False,high,7,rocky,shallow,27,moderate,14,raft,3,13,luxury,flat,57990000.0,197
commercial,Varanasi,11600,1,38,376,standard,medium,False,moderate,4,clay,deep,0,easy,12,raft,13,125,standard,flat,48634000.0,399
infrastructure,Thanjavur,8200,1,57,239,economy,high,False,moderate,8,normal,moderate,0,moderate,10,raft,6,41,basic,flat,32149000.0,231
residential,Lucknow,4900,3,44,261,economy,medium,False,high,1,clay,shallow,31,moderate,10.5,pile,8,29,basic,flat,24506000.0,270
residential,Madurai,7400,4,66,520,premium,medium,False,moderate,8,sandy,deep,9,easy,18,raft,11,31,luxury,gentle_slope,76906000.0,535
residential,Tirupati,6300,1,35,332,economy,medium,False,moderate,10,sandy,high,19,easy,10,raft,11,48,standard,flat,19799000.0,330
residential,Mumbai,5100,2,24,290,economy,medium,False,high,10,rocky,deep,36,difficult,14,strip,9,20,basic,flat,20933000.0,303
residential,Bareilly,2900,1,18,123,standard,high,False,moderate,10,normal,moderate,19,difficult,10.5,isolated,3,18,standard,gentle_slope,12241000.0,140
infrastructure,Vellore,2700,1,20,84,premium,high,False,moderate,3,normal,deep,10,easy,10,isolated,2,14,standard,gentle_slope,19042000.0,88
residential,Bhopal,2000,2,16,76,standard,low,False,moderate,6,normal,deep,14,easy,9,strip,2,13,standard,flat,7537000.0,61
infrastructure,Aligarh,5500,2,49,258,premium,low,False,moderate,1,clay,high,0,difficult,16,strip,3,12,premium,flat,62647000.0,257
commercial,Kanpur,25500,3,182,730,economy,medium,False,moderate,12,rocky,moderate,3,moderate,12,isolated,33,214,standard,hilly,131670000.0,727
commercial,Mangalore,35200,3,185,730,economy,low,False,high,2,sandy,shallow,30,moderate,11,raft,45,320,basic,steep_slope,199462000.0,738
residential,Madurai,6500,4,46,372,standard,medium,False,moderate,17,normal,shallow,0,easy,10.5,strip,9,45,standard,flat,21492000.0,362
residential,Guwahati,2500,2,18,150,standard,low,False,moderate,7,sandy,moderate,22,difficult,10,isolated,3,15,premium,gentle_slope,11488000.0,145
residential,Nagpur,4500,1,32,184,standard,medium,False,moderate,8,sandy,shallow,15,difficult,10.5,isolated,9,25,basic,flat,12807000.0,180
residential,Delhi,3300,1,14,120,standard,high,False,high,9,normal,shallow,0,moderate,9,isolated,7,24,standard,gentle_slope,18740000.0,110
residential,Jabalpur,4000,3,33,183,premium,medium,False,moderate,13,rocky,high,15,easy,14,isolated,6,12,luxury,steep_slope,58083000.0,184
residential,Aurangabad,5300,1,32,159,economy,low,False,high,12,normal,deep,0,difficult,10.5,isolated,10,38,standard,gentle_slope,11001000.0,163
residential,Thiruvananthapuram,1400,1,9,63,economy,medium,False,high,7,normal,shallow,5,easy,12,raft,4,5,basic,steep_slope,4216000.0,63
infrastructure,Jamshedpur,6900,1,44,294,standard,medium,False,moderate,9,normal,moderate,38,moderate,16,strip,5,19,standard,flat,36914000.0,296
commercial,Gurgaon,8300,2,32,237,economy,high,False,high,12,clay,deep,9,moderate,11,strip,10,108,basic,gentle_slope,49125000.0,257
residential,Agra,5900,2,37,201,standard,medium,False,high,8,sandy,deep,0,moderate,11,isolated,10,38,standard,flat,17728000.0,197
commercial,Bhopal,43700,6,420,730,standard,medium,False,moderate,4,rocky,moderate,0,easy,10,pile,50,524,basic,flat,295893000.0,729
residential,Tirupati,7200,4,62,410,premium,medium,False,moderate,6,normal,moderate,4,moderate,10,strip,14,41,luxury,steep_slope,89868000.0,417
industrial,Patna,39800,3,146,730,economy,medium,False,high,7,sandy,moderate,36,moderate,14,isolated,18,1192,standard,gentle_slope,142325000.0,742
commercial,Bareilly,8300,1,44,214,premium,high,False,moderate,6,clay,moderate,0,moderate,16,strip,11,126,premium,hilly,101817000.0,208
commercial,Kochi,33100,7,288,730,standard,medium,False,high,5,clay,moderate,42,moderate,16,pile,40,519,basic,steep_slope,396626000.0,731
commercial,Ludhiana,30200,2,125,730,standard,high,False,moderate,3,sandy,deep,12,easy,11,isolated,38,360,standard,flat,181652000.0,728
industrial,Kanpur,72400,2,190,730,economy,high,False,moderate,7,marshy,deep,3,easy,20,raft,38,2068,standard,flat,241638000.0,746
industrial,Kochi,51000,1,179,730,economy,medium,False,high,9,sandy,shallow,33,moderate,14,strip,25,2232,standard,steep_slope,164490000.0,735
commercial,Salem,6400,8,77,391,standard,medium,True,low,1,normal,moderate,32,moderate,11,pile,8,93,premium,gentle_slope,116824000.0,410
commercial,Delhi,4700,2,28,141,standard,medium,False,high,12,normal,moderate,17,moderate,10,isolated,7,86,standard,gentle_slope,23815000.0,143
commercial,Kochi,13100,7,123,730,premium,high,True,low,9,clay,deep,39,difficult,11,raft,16,127,luxury,gentle_slope,371992000.0,733
infrastructure,Kanpur,14500,1,74,576,economy,low,False,moderate,10,rocky,moderate,14,easy,10,isolated,11,55,standard,flat,42836000.0,564
industrial,Surat,30900,2,141,730,standard,medium,False,high,6,sandy,high,50,easy,14,isolated,15,532,standard,gentle_slope,148265000.0,733
infrastructure,Hyderabad,11800,1,93,354,premium,medium,False,moderate,10,normal,moderate,9,easy,11,strip,7,50,premium,steep_slope,138954000.0,346
industrial,Meerut,15400,3,41,468,standard,high,False,moderate,10,normal,moderate,17,easy,16,raft,8,666,standard,flat,94398000.0,467
residential,Jamshedpur,5400,4,59,391,premium,medium,False,moderate,10,normal,deep,0,moderate,11,strip,10,40,premium,flat,46844000.0,376
industrial,Guwahati,44600,2,231,730,premium,medium,True,high,5,normal,deep,22,difficult,14,raft,22,887,premium,flat,485255000.0,759
residential,Lucknow,2100,4,11,116,standard,low,False,moderate,7,sandy,moderate,39,moderate,10.5,strip,3,6,premium,gentle_slope,12562000.0,109
industrial,Tirupati,38600,3,109,730,standard,medium,True,moderate,4,normal,deep,0,moderate,16,raft,20,1346,standard,gentle_slope,175538000.0,727
residential,Srinagar,2700,3,15,159,standard,medium,False,high,3,marshy,moderate,29,moderate,9,pile,6,9,premium,flat,27917000.0,172
commercial,Thanjavur,24100,1,85,730,premium,low,False,low,5,rocky,moderate,43,difficult,12,strip,31,414,premium,flat,186259000.0,729
industrial,Meerut,22800,3,135,553,premium,low,False,moderate,9,normal,shallow,37,difficult,14,strip,11,579,premium,flat,162039000.0,555
residential,Bangalore,5000,2,33,238,standard,medium,False,low,6,clay,deep,16,easy,11,raft,9,17,standard,steep_slope,27818000.0,238
commercial,Agra,29300,1,139,730,standard,medium,False,high,11,marshy,high,4,easy,12,pile,36,465,standard,hilly,225570000.0,720
commercial,Chennai,47500,1,193,730,standard,medium,False,high,3,sandy,moderate,29,easy,16,raft,50,557,basic,gentle_slope,223262000.0,741
commercial,Amritsar,37200,5,257,730,standard,medium,False,moderate,14,clay,shallow,50,difficult,12,raft,45,730,premium,gentle_slope,450370000.0,733
infrastructure,Ahmedabad,16500,2,133,581,economy,medium,False,moderate,15,normal,deep,3,easy,11,pile,12,46,standard,flat,72109000.0,569
commercial,Pondicherry,26200,2,169,730,standard,medium,False,high,8,normal,moderate,16,easy,11,strip,34,435,standard,gentle_slope,109286000.0,728
industrial,Udaipur,23600,1,104,673,premium,medium,False,low,5,clay,moderate,37,difficult,16,pile,12,644,luxury,hilly,417092000.0,687
residential,Goa,4400,4,31,285,economy,medium,False,high,5,normal,deep,12,difficult,10,strip,8,16,basic,hilly,16543000.0,296
commercial,Meerut,27200,7,281,730,standard,low,False,moderate,8,sandy,deep,0,moderate,12,raft,34,505,standard,flat,173633000.0,717
residential,Mangalore,7900,1,59,394,economy,medium,False,high,8,normal,deep,15,easy,10.5,isolated,15,60,basic,steep_slope,18255000.0,400
residential,Vellore,1000,4,7,81,standard,medium,False,moderate,9,normal,shallow,52,remote,12,strip,3,5,premium,flat,6988000.0,93
commercial,Chandigarh,17700,3,87,730,premium,high,False,moderate,6,clay,shallow,18,difficult,11,raft,23,157,premium,gentle_slope,362498000.0,734
industrial,Kanpur,21600,2,85,500,premium,medium,False,moderate,9,normal,deep,0,easy,18,isolated,9,993,premium,gentle_slope,112695000.0,497
residential,Ludhiana,900,2,8,67,standard,medium,False,moderate,4,sandy,moderate,0,easy,10,strip,1,3,basic,gentle_slope,2716000.0,52
infrastructure,Aligarh,16600,1,114,702,standard,medium,False,moderate,4,rocky,deep,13,moderate,12,strip,12,76,standard,flat,66650000.0,712
residential,Warangal,5900,1,43,315,standard,medium,False,moderate,1,normal,deep,39,moderate,10.5,isolated,11,33,standard,gentle_slope,18583000.0,304
infrastructure,Lucknow,15600,1,100,560,standard,high,False,moderate,7,sandy,moderate,0,easy,14,isolated,9,62,standard,flat,112376000.0,579
residential,Bareilly,3400,2,25,141,standard,medium,False,moderate,8,normal,shallow,14,easy,10,isolated,6,18,premium,gentle_slope,18191000.0,150
commercial,Thane,22500,6,136,730,economy,high,False,high,10,normal,deep,54,difficult,16,pile,28,400,basic,flat,208704000.0,746
residential,Rajkot,2600,3,23,166,economy,low,False,moderate,10,sandy,moderate,0,moderate,16,strip,6,10,standard,steep_slope,10602000.0,156
commercial,Faridabad,41000,5,214,730,premium,high,True,high,12,normal,deep,0,easy,12,raft,50,594,premium,gentle_slope,861381000.0,733
infrastructure,Ludhiana,16000,1,88,411,standard,high,False,moderate,13,normal,deep,25,difficult,9,raft,11,75,standard,steep_slope,116812000.0,405
residential,Chandigarh,1700,4,17,81,standard,medium,False,moderate,8,normal,moderate,9,easy,16,strip,1,12,premium,hilly,12510000.0,79
commercial,Jamshedpur,42800,8,270,730,standard,high,False,moderate,13,normal,deep,15,moderate,10,raft,50,838,standard,hilly,609451000.0,748
residential,Meerut,1600,1,7,60,standard,medium,False,moderate,8,rocky,shallow,27,easy,10,strip,4,8,basic,steep_slope,7422000.0,90
industrial,Agra,76300,1,324,730,standard,high,False,high,9,normal,moderate,37,moderate,16,strip,38,2992,standard,flat,392215000.0,739
infrastructure,Srinagar,6400,1,44,196,standard,medium,False,high,8,normal,deep,13,moderate,11,isolated,5,34,standard,flat,32253000.0,191
infrastructure,Trichy,13200,1,73,538,economy,high,False,moderate,8,marshy,moderate,5,easy,14,strip,7,26,basic,gentle_slope,56363000.0,554
residential,Amritsar,2200,2,16,77,economy,low,False,moderate,7,marshy,moderate,0,difficult,11,pile,2,10,standard,flat,9100000.0,81
residential,Pune,6900,4,73,368,premium,medium,False,moderate,1,normal,moderate,12,easy,11,raft,11,42,premium,gentle_slope,61268000.0,360
industrial,Ranchi,49000,2,161,730,standard,low,False,moderate,10,clay,deep,13,easy,12,raft,23,1111,basic,flat,120154000.0,737
industrial,Tirupati,61000,1,241,730,premium,low,False,moderate,2,sandy,moderate,20,easy,16,strip,31,1081,premium,flat,369606000.0,747
industrial,Mysore,6100,3,28,137,economy,low,False,moderate,11,sandy,high,9,easy,18,isolated,2,178,standard,flat,19744000.0,122
residential,Thane,1900,2,11,112,economy,medium,False,high,4,rocky,deep,15,easy,10,raft,4,8,basic,gentle_slope,6456000.0,127
commercial,Guwahati,34900,5,323,730,standard,medium,False,high,7,clay,moderate,31,moderate,11,pile,45,328,standard,flat,260020000.0,742
commercial,Noida,9900,6,63,422,standard,high,False,high,9,sandy,high,6,easy,12,pile,11,165,standard,gentle_slope,134438000.0,443
commercial,Faridabad,25400,3,150,730,standard,low,False,moderate,4,normal,shallow,15,easy,14,isolated,33,297,standard,flat,113512000.0,721
commercial,Meerut,6600,4,49,356,premium,medium,False,moderate,7,normal,deep,0,easy,14,isolated,10,124,premium,gentle_slope,84362000.0,348
residential,Faridabad,7300,4,71,503,standard,medium,False,high,11,normal,moderate,25,moderate,12,raft,14,22,standard,flat,33589000.0,497
commercial,Thrissur,29000,1,142,730,standard,medium,True,high,1,rocky,high,41,difficult,12,isolated,35,512,basic,flat,198219000.0,769
industrial,Hubli,45800,1,156,730,economy,medium,False,low,9,clay,deep,40,moderate,16,pile,21,1186,standard,flat,119101000.0,747
industrial,Coimbatore,40900,2,149,730,economy,medium,False,low,2,clay,high,69,remote,16,strip,21,1691,standard,flat,169651000.0,743
infrastructure,Ranchi,17700,2,94,596,standard,low,False,moderate,4,marshy,moderate,31,moderate,12,strip,11,66,basic,gentle_slope,84181000.0,608
residential,Bangalore,1200,1,7,60,standard,medium,True,low,4,sandy,deep,16,easy,9,isolated,1,5,standard,steep_slope,4970000.0,67
commercial,Ranchi,36500,4,284,730,premium,medium,True,moderate,12,clay,moderate,19,easy,12,pile,44,583,standard,gentle_slope,507137000.0,743
residential,Nagpur,2000,3,11,127,economy,medium,False,moderate,1,sandy,high,40,moderate,9,raft,5,9,standard,gentle_slope,7636000.0,141
industrial,Tirupati,32800,1,77,730,economy,medium,False,moderate,11,rocky,high,42,moderate,12,isolated,16,988,standard,steep_slope,100971000.0,753
industrial,Pondicherry,5600,3,27,192,standard,high,False,high,7,normal,deep,26,moderate,14,raft,2,119,basic,flat,29400000.0,193
residential,Visakhapatnam,5400,3,29,250,standard,medium,True,high,8,normal,high,26,easy,10,strip,9,42,standard,hilly,33297000.0,277
residential,Udaipur,2000,2,13,107,economy,high,True,low,14,normal,moderate,50,easy,14,raft,4,10,standard,flat,9154000.0,116
residential,Gurgaon,2700,4,27,144,standard,low,False,high,8,normal,moderate,0,easy,9,strip,5,21,premium,flat,15462000.0,136
